0
PRAXAIR MEXICO S. DE R.L. DE C.V.
COMERCIALIZADORA DE REACTIVOS P/LAB.Y MATS.P/HOSP.SA DE C
"SG PROVEEDORES, S.A.DE C.V."
"MISODI PUBLICIDAD,S.A.DE C.V."
"DISTRIBUIDORA DE FRUTAS Y LEGUMBRES LA HORTALIZA,S.A.DE C.V."
S.I.M.E.P.R.O.D.E.
"TELEFONOS DE MEXICO,S.A.B DE C.V."
"GRANA,S.A."
"EMPACADORA Y DISTR.DE CARNES FINAS SAN JUAN,S.A.DE C.V."
"AUTOKAM REGIOMONTANA,S.A.DE C.V."
"ORSAN DEL NORTE, SA. DE CV."
"AUDIMED , S.A. DE C.V."
"CLIMEEZ DEL NORTE,S.A.DE C.V."
"REGIA SOLUCION, S.A. DE C.V."
"VALUE ARRENDADORA,S.A.DE C.V. SOFOM ER VALUE GPO.FIN."
"DESARROLLOS CONSTRUCTIVOS NACIONALES,S.A.DE C.V."
NUEVO MERCADO PRESIDENTE BENITO JUAREZ
HOSPITAL SAN FELIPE DE JESUS S.C.
"EMERGENCIA MEDICA PROFESIONAL, S.C."
"HISA FARMACEUTICA, S.A. DE C.V."
"BUSINESS ELITE NETWORK, S.A. DE C.V."
LOPEZ MARTINEZ JULIAN
"BANCA AFIRME, S.A."
"SEGUROS BANORTE, S.A. DE C.V. GRUPO FINANCIERO BANORTE"
"SAG GRUPO AUTOMOTRIZ, S.A. DE C.V."
"SI VALE MEXICO, S.A. DE C.V."
"INTERLAMPARAS, S.A. DE C.V."
PINEDA GUERRERO OSCAR
"COMERCIALIZADORA RC TOOL CENTER, S.A. DE C.V."
"AT&T COMUNICACIONES DIGITALES, S. DE R.L. DE C.V."
"ANGIO MEDICAL, S.A. DE C.V."
ELEVADORES OTIS S DE RL DE C.V.
"INTEGRACION DE SISTEMAS DE AVANZADA TECNOLOGIA, S.A. DE C.V."
"MAH CONSTRUCTORA REGIOMONTANA, S.A. DE C.V."
"INDUSTRIAS SOLA BASIC, S.A. DE C.V."
FRANCO GARCIA MARIBEL
CHAPA RIOS RAUL
BENITES VALDES JOSE LUCIO
HOSP.UNIVERSITARIO DR.JOSE E.GONZALEZ
INSTITUTO DE LA JUVENTUD REGIA
"BANCO MULTIVA, SA. G.F.M."
INSTITUTO MUNICIPAL DE LAS MUJERES REGIAS
INSTITUTO MPAL.DE PLANEAC.URB.Y CONVIVENCIA DE MONTERREY NL.
FIDEICOMISO DISTRITO TEC NUM-1718
SERVICIO DE ADMINISTRACION TRIBUTARIA
S.U.T.S.M.M.
SECRETARIA DE FINANZAS Y TESORERIA GRAL DEL EDO DE NL
MUNICIPIO DE LA CIUDAD DE MONTERREY
CFE SUMINISTRADOR DE SERVICIOS BASICOS
"NATURGY MEXICO, S.A. DE C.V."
"SERVICIOS DE AGUA Y DRENAJE DE MONTERREY, IPD."
2814 INMUEBLES S. DE R.L. DE C.V.
AGUIRRE OCAÑAS JAIME MARCELO
ALVARADO MONTOYA IZADORA
AMARO DE LA ROSA J. AMPARO
ARANZABAL CARDENAS CECILIA ALEJANDRA
"BANCO REGIONAL DE MONTERREY, SA. IBM BGF"
BERNAL MELGOZA ROBERTO
CANTU CANTU BENJAMIN
CASTRO DE LA GARZA FERNANDO GERARDO
CORDOVA RODRIGUEZ DIEGO ORLANDO
DARWICH SALINAS MARIA ESTHELA
DE LEON VARELA JORGE LUIS
DECCARET DECCARET JORGE AFIF
DECCARET FERNANDEZ DANIELA
ESPARZA RODRIGUEZ ENRIQUE SERGIO
FUENTES RODRIGUEZ EMMA THELMA
GARCIA GALVAN AURELIO
GARCIA PERALES JORGE ALBERTO
GARZA DE LA GARZA JAIME
GAVIÑO ROBLES GIL ALBERTO
GAYTAN SALAS ALEJANDRO JAVIER
GOMEZ CANOVAS RAMON FELIPE
GOMEZ GONZALEZ ALEJANDRA YAMILETH
HINOJOSA ELIZONDO ADRIANA
MADERERIA NASA SA DE CV
MARTINEZ  HECTOR
MEZA LORENZO DIEGO ARMANDO
MUÑOZ GOBEA JESUS
NAVARRO YZABAL SERGIO SIMON
NEVAREZ MONTALVO JOSE ALEJANDRO
ORTIZ HERNANDEZ JESUS RICARDO
PEREZ PEÑA DELIA PATRICIA
SALAS MARTINEZ DAVID
SALAZAR GONZALEZ EVANGELINA
SALDAÑA HERNANDEZ RAUL
SEDE INMOBILIARIA SA DE CV
TAFICH CANAVATI REYNALDO
TORRE LEYVA LUIS RICARDO
"TRANSPORTES PROGRESO, SA."
VILLARREAL AGUIRRE JORGE ALBERTO
"CHUBB SEGUROS MEXICO, S.A."
"DECO SEGUROS, SA. DE CV."
"FAMSA MEXICO, SA. DE CV."
IGLESIAS GUZMAN BOSQUE DAVID
"IMPULSORA PROMOBIEN, SA. DE CV."
INFONACOT
INSTITUTO DE CONTROL VEHICULAR
"METLIFE MEXICO, S.A."
PATRIMONIO S.A. DE C.V. SOFOM ENR
"QUALITAS COMPAÑIA DE SEGUROS, SA. DE CV."
"SEGUROS AFIRME, S.A. DE C.V. AFIRME GRUPO FINANCIERO"
"SEGUROS ARGOS, SA. DE CV."
"SEGUROS VE POR MAS, SA. GRUPO FINANCIERO VE POR MAS"
TANUS GUERRA TATHIANA
"TELECOMUNICACION Y MERCADOTECNIA DE MTY, SA. DE CV."
TIJERINA GOMEZ LUCAS OCTAVIO
UNIVERSIDAD AUTONOMA DE NUEVO LEON
RAMIREZ RAMIREZ MARIA
HERNANDEZ VALDEZ ESTRELLA DANAE
PENSIONES Y JUBILACIONES EMPL. MONTERREY
ALONSO ORTIZ FELICITAS
PUGA REYNA ALMA PATRICIA
HERNANDEZ JIMENEZ EDUARDO
GARZA MORALES YADIRA HORTENCIA
CAVAZOS GARCIA ANTERO
ALVARADO GONZALEZ NICOLAS
PALOMO FLORES MARIA ANTONIETA
LONG REYNA ANALAURA
